"UNITID","d1_id","school_name","2018_total_enroll","2019_total_enroll","2020_total_enroll","2021_total_enroll","2022_total_enroll","2023_total_enroll"
200800,2,"University of Akron Main Campus",167728,155266,145486,135372,121418,112672
100751,3,"The University of Alabama",335596,334998,332062,324126,324348,328858
197869,4,"Appalachian State University",170218,173364,174758,180362,185420,184894
104179,5,"University of Arizona",362198,363230,366834,377086,397238,408892
104151,6,"Arizona State University Campus Immersion",442486,444422,458130,650606,669320,680054
106397,7,"University of Arkansas",237240,240352,238140,236938,248676,266092
106458,8,"Arkansas State University",107498,104898,101126,97766,95244,96364
100858,9,"Auburn University",250924,258038,258248,259602,264472,268144
150136,10,"Ball State University",181198,174606,177496,171498,160100,154850
142115,11,"Boise State University",197454,206418,212190,199954,209878,211872
201441,12,"Bowling Green State University-Main Campus",147260,148246,149448,149750,145106,138404
196088,13,"University at Buffalo",239214,246316,249996,253406,248856,243764
110635,14,"University of California-Berkeley",338250,343066,347908,341856,357154,362634
169248,15,"Central Michigan University",192440,178426,159392,142766,126002,116180
199139,16,"University of North Carolina at Charlotte",252838,255954,253846,256344,256344,249064
201885,17,"University of Cincinnati-Main Campus",293030,298302,309284,322386,317204,322728
217882,18,"Clemson University",205742,209820,216110,222146,229792,239688
218724,19,"Coastal Carolina University",95852,95636,94132,91700,93970,93592
126614,20,"University of Colorado Boulder",300628,312678,322040,316838,325974,328596
126818,21,"Colorado State University-Fort Collins",268546,272056,272512,263714,267540,274692
129020,22,"University of Connecticut",217148,215736,213948,213676,210760,212912
198464,23,"East Carolina University",244722,241984,240006,240084,233734,225944
169798,24,"Eastern Michigan University",177056,165046,154100,141068,131572,119776
133669,25,"Florida Atlantic University",260302,254574,256850,263214,257148,250304
133951,26,"Florida International University",480896,487630,492872,490796,471108,462072
134130,27,"University of Florida",402934,404526,405478,407632,415478,411416
134097,28,"Florida State University",349046,345194,353652,356886,365944,361220
110556,29,"California State University-Fresno",226438,224578,218230,229346,224964,215728
139959,30,"University of Georgia",311428,320272,323282,323646,329294,333574
139931,31,"Georgia Southern University",178422,232158,227800,233152,233832,221152
139940,32,"Georgia State University",274424,287684,294982,304318,307406,306710
139755,33,"Georgia Institute of Technology-Main Campus",202172,217562,231680,248658,269688,280236
225511,34,"University of Houston",389908,400760,400950,408704,404624,399896
145637,35,"University of Illinois Urbana-Champaign",377274,383316,391650,395028,414948,418114
151351,36,"Indiana University-Bloomington",358112,356384,353802,352856,366834,381472
153658,37,"University of Iowa",261012,258630,253632,244496,238602,239830
153603,38,"Iowa State University",314350,304108,290602,277098,265822,258878
155317,39,"University of Kansas",216482,218164,217304,211340,210906,210556
155399,40,"Kansas State University",194140,188132,182688,174210,167946,162210
203517,41,"Kent State University at Kent",243272,235982,232498,225566,221098,212406
157085,42,"University of Kentucky",241312,237830,238840,241768,241350,247996
159647,43,"Louisiana Tech University",103282,97276,95082,92496,91652,89396
160658,44,"University of Louisiana at Lafayette",153568,150152,146422,141052,137362,128734
159993,45,"University of Louisiana at Monroe",74376,75272,69192,69804,67552,64788
157289,46,"University of Louisville",169308,169090,170006,172202,169698,169336
159391,47,"Louisiana State University and Agricultural & Mechanical College",257822,256646,261236,280200,293924,307410
237525,48,"Marshall University",102576,100984,97700,92300,85624,83430
163286,49,"University of Maryland-College Park",328480,334910,332934,334704,336260,332104
166629,50,"University of Massachusetts-Amherst",250672,252116,257914,260460,262686,262964
220862,51,"University of Memphis",179142,177590,178402,180282,173070,172980
204024,52,"Miami University-Oxford",172714,174670,172914,166588,169496,168970
170976,53,"University of Michigan-Ann Arbor",348156,354426,365416,365284,379348,385982
171100,54,"Michigan State University",416416,419706,415786,412636,411030,414920
220978,55,"Middle Tennessee State University",195066,191238,191554,192530,188826,174566
174066,56,"University of Minnesota-Twin Cities",392008,385656,388550,391886,391092,407082
176080,57,"Mississippi State University",188178,189786,193040,198000,196540,193088
178396,58,"University of Missouri-Columbia",256526,243114,242104,250980,255678,255564
199193,59,"North Carolina State University at Raleigh",267638,277242,284372,285658,290238,288490
181464,60,"University of Nebraska-Lincoln",220230,217676,213974,211974,205148,200706
182290,61,"University of Nevada-Reno",187758,184382,179140,176442,176458,174718
187985,62,"University of New Mexico-Main Campus",214802,198496,185068,179186,174356,176112
188030,63,"New Mexico State University-Main Campus",121762,120558,120790,120148,116748,119864
199120,64,"University of North Carolina at Chapel Hill",223288,225408,225508,227312,235762,237692
227216,65,"University of North Texas",331808,331464,339072,350088,354178,363958
147703,66,"Northern Illinois University",149110,141584,135332,136524,131310,126206
204857,67,"Ohio University-Main Campus",247456,238840,226024,210168,200176,194238
204796,68,"Ohio State University-Main Campus",496234,505508,506396,505534,508018,498846
207500,69,"University of Oklahoma-Norman Campus",235370,236490,232122,229358,228508,229798
207388,70,"Oklahoma State University-Main Campus",217700,212914,207140,209606,209568,215226
232982,71,"Old Dominion University",208160,205872,202622,207658,199250,195618
176017,72,"University of Mississippi",196778,190132,182032,174698,173812,183502
209551,73,"University of Oregon",199004,196134,193766,187146,191010,198928
209542,74,"Oregon State University",267306,267142,273880,279580,288122,299580
214777,75,"Pennsylvania State University-Main Campus",416632,412248,784448,NA,NA,430838
243780,76,"Purdue University-Main Campus",347152,362364,372306,382136,407064,418156
186380,77,"Rutgers University-New Brunswick",398238,401646,401418,401942,404618,404036
122409,78,"San Diego State University",309548,310956,314710,323786,322004,328090
122755,79,"San Jose State University",300280,297206,303114,304034,309424,295596
102094,80,"University of South Alabama",123328,116242,111076,106988,104602,100168
218663,81,"University of South Carolina-Columbia",282088,286138,292152,293150,288984,291510
137351,82,"University of South Florida",353046,356278,359134,416208,409020,407946
176372,83,"University of Southern Mississippi",124724,125052,122028,123368,117184,111968
221759,84,"The University of Tennessee-Knoxville",236732,241388,246520,256304,264870,283226
228778,85,"The University of Texas at Austin",430182,432332,427478,423578,433700,437856
228723,86,"Texas A & M University-College Station",564840,572712,573736,590356,602944,613268
228459,87,"Texas State University",347996,347380,343526,338728,337206,340480
229115,88,"Texas Tech University",319012,327588,331616,344430,344790,342428
206084,89,"University of Toledo",168684,166110,161422,150182,137654,125006
100663,90,"University of Alabama at Birmingham",156742,163510,164612,167896,164556,159290
132903,91,"University of Central Florida",589666,610652,617464,638696,625892,607182
110662,92,"University of California-Los Angeles",350012,355094,354880,355400,364028,367334
182281,93,"University of Nevada-Las Vegas",263294,262932,268352,269254,264430,262062
230764,94,"University of Utah",265840,266650,265608,267224,278186,282174
230728,95,"Utah State University",237360,239262,235408,235312,231832,234482
228796,96,"The University of Texas at El Paso",220680,221852,221670,219342,209984,208778
229027,97,"The University of Texas at San Antonio",268738,284584,288020,304896,304098,302008
234076,98,"University of Virginia-Main Campus",188002,190086,193120,197866,198994,199584
233921,99,"Virginia Polytechnic Institute and State University",286954,292704,305614,314492,313916,320572
236948,100,"University of Washington-Seattle Campus",354920,363096,363768,367610,393102,390654
236939,101,"Washington State University",262976,270480,271540,267530,255778,236458
238032,102,"West Virginia University",234988,222298,220718,215754,207980,201420
157951,103,"Western Kentucky University",168224,161852,151602,146744,140898,137938
172699,104,"Western Michigan University",191806,189798,181348,169074,155154,142992
240444,105,"University of Wisconsin-Madison",341126,344978,351466,355928,374280,391916
240727,106,"University of Wyoming",104270,105494,103674,99712,95500,91634
